taxi_id,mileage_utilization,time_utilization,empty_time
973,0.568120923676984,0.4527747151782433,1489
974,0.8806625451162436,0.7351384998443822,851
975,0.7734909684670914,0.3813131313131313,1225
976,0.7985495330258712,0.7191332788225675,687
977,0.7001498176515368,0.12307692307692308,2223
981,0.5912176505097838,0.5712338104976141,629
982,0.8653546393911261,0.8893425888117599,271
983,0.9131293028770383,0.8958171959721146,269
984,0.5246775259448315,0.44621513944223107,695
985,0.6990488123890911,0.21041666666666667,2274
988,0.0,0.0,1387
989,0.5909358513288742,0.5627923713566031,1215
991,0.3816974256902097,0.22802197802197802,843
992,1.0,1.0,0
993,0.8387638843779905,0.7099644128113879,326
994,0.7547077694698457,0.5634644101543056,877
998,0.4614621286051174,0.3657885961987329,1902
1001,1.0,1.0,0
1002,0.15316209905550118,0.12846580406654343,1886
1004,0.18249362403955247,0.21575037147102527,2639
1007,0.848929941495084,0.7934782608695652,247
1008,0.4754796277777508,0.47855750487329435,1070
1010,0.29839043575675867,0.27700220426157235,1968
1012,0.6018517995810053,0.32743055555555556,1937
1013,0.2537828649563267,0.3797600417318727,1189
1017,0.3817654348880612,0.3472140762463343,1113
1021,1.0,1.0,0
1023,0.6864083151724605,0.5848563968668408,795
1024,0.990959489090846,0.984306887532694,18
1026,1.0,1.0,0
1028,0.65753875808117,0.4517478338810875,1835
1030,0.31141375729601856,0.23627984918307499,1823
1031,0.10836766804133734,0.09992163009404388,2297
1032,0.748258206384811,0.6249501793543244,941
1033,0.9277150046370424,0.8547523427041499,217
1034,0.7296221531039447,0.6582491582491582,609
1035,0.36771441880728556,0.28057889822595705,1541
1037,0.593953486035788,0.3180703188879804,1668
1039,0.7328958900024058,0.5069958847736625,1198
1040,0.6641314459145621,0.6703096539162113,362
1042,0.7096761195375547,0.6674094707520891,597
1045,0.8661633612218861,0.8190338860850757,251
1046,0.8912571636130819,0.8779968034096963,229
1047,0.7707081684490732,0.5395384033295497,1217
1048,0.8792306942847815,0.8341939185312679,289
1049,1.0,1.0,0
1051,0.0,0.0,2788
1052,0.4046225513394873,0.3509895227008149,1115
1054,0.970860451662572,0.9422343324250682,106
1055,0.21236531259246702,0.2220294882914137,897
1056,0.8498333634236864,0.7441462021701885,448
1057,0.7165053301103477,0.6802168021680217,1062
1058,0.7210493394142485,0.5641952983725136,482
1059,0.31103605586325256,0.2847854356306892,550
1061,0.6124985350415219,0.4335242689176967,1879
1062,0.9275276794447092,0.9113869863013698,207
1064,0.4780635940846968,0.41577287066246055,926
1065,0.7216533582830313,0.5912975912975913,526
1066,0.39004599591881145,0.33369041242635245,1244
1069,0.20153335548392765,0.23130363710666121,1881
1070,0.25652234758500003,0.20418848167539266,2280
1071,0.43406160436311936,0.32558139534883723,1450
1072,0.5931708932689936,0.5034816833181955,1640
1079,0.3398050382328297,0.2632999228989977,1911
1083,0.7865242475138624,0.7665301345816267,399
1084,0.5994842926140254,0.41568396226415094,991
1085,0.6097287129973752,0.5904804669959587,912
1087,0.8135583479619098,0.7181294042280589,440
1088,0.4780642356387415,0.39244851258581237,1062
1089,1.0,1.0,0
1090,0.7945630381948634,0.7838943063856558,687
1092,0.30308705337506325,0.2576243980738363,1850
1093,1.0,1.0,0
1094,0.7374652862284433,0.6989987484355444,481
1096,0.8380014186622456,0.7874061236279607,368
1098,0.6170366384667534,0.5091496232508074,912
1099,1.0,1.0,0
1101,0.45167633376520455,0.3504326328800989,1051
1102,0.3457224862471886,0.2718720602069614,774
1104,1.0,1.0,0
1107,0.8703933630194582,0.8304904051172708,477
1108,0.8459235806990657,0.7318763326226013,503
1114,0.9560070608222745,0.4891670678863746,1061
