taxi_id,mileage_utilization,time_utilization,empty_time
2,0.9068620817700977,0.8413618792744574,1067
4,0.6801083009730707,0.4087667161961367,3979
5,0.7285652826594259,0.6868456986800182,1376
6,0.5437053259417661,0.4416362688900469,2143
7,0.32934592628496334,0.42451820128479656,2150
8,0.857989288764136,0.7661592213626154,937
12,0.8144168895960454,0.8109987357774968,299
13,0.7866409893794991,0.7962846347607053,647
14,0.7765881073354602,0.7641648875020529,1436
15,0.8077875403663829,0.6743781527222126,1872
16,0.6011986771885159,0.4543707973102786,2272
17,0.8306465916788595,0.760926640926641,1548
19,0.967112716687896,0.9598482453367057,127
20,0.6086858097024437,0.6645422943221321,1158
21,0.8787297446547573,0.7184819339745256,1083
24,0.8398071493141983,0.8650190114068441,426
25,0.6856560757860487,0.6803677663601947,591
26,0.835448067544991,0.8026857654431513,1102
27,1.0,1.0,0
28,0.8486999897722174,0.7095208268086439,1855
30,0.7290576003920399,0.6516245487364621,1930
31,0.903641975658981,0.845761519521632,877
32,0.5799137083163612,0.5474779823859087,2826
34,0.384904858792187,0.28421052631578947,2380
39,0.5683664763371942,0.38049713193116635,3888
41,0.7679920059125569,0.6739684921230308,2173
36,0.7899413212971496,0.7812021113570577,1285
35,0.6425004165323166,0.3941145559642669,3459
38,0.7936655618111114,0.7044247787610619,1670
42,0.8694967347341191,0.3849198495943004,3108
48,0.744436570447742,0.656641604010025,1918
45,0.7521812391562621,0.7519815059445178,751
46,0.7688121666523272,0.6016402024079567,2283
47,0.7778291124957222,0.7508883486066953,1332
44,0.8666809282760307,0.8183276876448565,1019
50,0.639986061276115,0.8115147361206305,1100
52,0.8593412469426451,0.7480537862703468,1424
53,0.8195933169858718,0.6837134970216475,2177
55,0.8553902128603665,0.8920092646207296,373
54,0.5896698207680037,0.5792027729636049,2428
56,0.8713192002407221,0.40594679186228483,3796
57,0.8105168022816562,0.7627447807088525,1466
58,0.9032338682765091,0.8511809882625706,1027
61,0.9247031124994741,0.7962581025338833,1383
60,0.796208629828313,0.3683138053998981,3720
62,0.5312475494208452,0.4834828711256117,2533
67,0.774978733193562,0.7011686143572621,179
70,0.7914023669401506,0.7671897751172949,1439
65,0.8178208534380965,0.6668374316939891,1951
68,0.99279046054883,0.95408265122779,230
76,0.9156740674645008,0.8595002357378595,596
73,0.7184084381143556,0.5658879564527104,1914
72,0.9666947084988581,0.9171717171717172,451
74,0.43855463293508484,0.387785136129507,1664
75,0.9344475257060474,0.49281092739036664,1411
79,0.9107307140417449,0.5658566469266898,2126
77,0.9214372883489486,0.8766731839374342,820
82,0.8868567842774687,0.8969233784048599,526
80,0.8513248046695538,0.770494443549686,1425
84,0.9394933810702439,0.7895622895622896,1250
86,0.5609117574010257,0.4683852140077821,3279
83,0.8443973109482704,0.7283503457359236,1650
81,0.7542765364463229,0.6645836851883128,1986
85,0.8501401210067848,0.7440350877192983,1459
91,0.5740947596752619,0.5571677307022634,763
88,0.903643187988532,0.785952116695735,1350
90,1.0,1.0,0
97,0.8515105476835653,0.8177762525737817,531
92,0.9802582495850444,0.9294414111717766,168
93,0.914907855565096,0.8183190739808757,1083
99,0.7767909156338912,0.7915350600126342,990
98,0.6987139886525034,0.6899090515374621,2148
100,0.8646517858845665,0.8597105137585493,882
109,1.0,1.0,0
103,0.6485280563539672,0.5896815800080613,1018
106,0.8443863345137722,0.8352272727272727,609
104,0.8899758414869422,0.8508818813468734,837
107,0.5324529737746654,0.6275303643724697,1932
105,0.7517622311687616,0.7062360419171964,1710
114,0.6442733352582536,0.5515727871250914,1839
111,0.7722780059916772,0.5607511737089201,2339
110,0.8861490688560301,0.852991452991453,860
115,0.6608615586579498,0.5568310428455941,2741
117,0.2683575938632495,0.17121116043119847,2614
119,0.6208520472497825,0.3674734356552538,4286
120,0.7262270269330089,0.7141395539185594,1397
122,0.7581946231993071,0.7440625,1638
127,0.8581670176517321,0.700589970501475,1827
