taxi_id,mileage_utilization,time_utilization,empty_time
2,0.906834441488605,0.8413618792744574,1067
4,0.680096713542364,0.4087667161961367,3979
5,0.7283811773962454,0.6868456986800182,1376
6,0.5434827344502028,0.4416362688900469,2143
7,0.32930493312897013,0.42451820128479656,2150
8,0.8579508913084741,0.7661592213626154,937
12,0.8142665493741731,0.8109987357774968,299
13,0.7867023125810837,0.7962846347607053,647
14,0.7766699851366211,0.7641648875020529,1436
15,0.8076364837884208,0.6743781527222126,1872
16,0.6011227324955749,0.4543707973102786,2272
17,0.8307166355098553,0.760926640926641,1548
19,0.9671639724747588,0.9598482453367057,127
20,0.6088687590541095,0.6645422943221321,1158
21,0.8788517194666225,0.7184819339745256,1083
24,0.8398232943784426,0.8650190114068441,426
25,0.6857813864350554,0.6803677663601947,591
26,0.8354170908387449,0.8026857654431513,1102
27,1.0,1.0,0
28,0.848702955349879,0.7095208268086439,1855
30,0.7289871420594831,0.6516245487364621,1930
31,0.9037166454348446,0.845761519521632,877
32,0.5799835439181769,0.5474779823859087,2826
34,0.3849701404713462,0.28421052631578947,2380
35,0.6425345440913564,0.3941145559642669,3459
36,0.7901100245438402,0.7812021113570577,1285
38,0.7937789393675642,0.7044247787610619,1670
39,0.568578293284479,0.38049713193116635,3888
41,0.7680053244915219,0.6739684921230308,2173
42,0.8696274594366675,0.3849198495943004,3108
44,0.866645236580225,0.8183276876448565,1019
45,0.7521677923505887,0.7519815059445178,751
46,0.7687675298182745,0.6016402024079567,2283
47,0.7780556945627833,0.7508883486066953,1332
48,0.7446266415856514,0.656641604010025,1918
50,0.6398507153706144,0.8115147361206305,1100
52,0.8594790237885273,0.7480537862703468,1424
53,0.8195341401347922,0.6837134970216475,2177
54,0.589839807566232,0.5792027729636049,2428
55,0.8554710075480053,0.8920092646207296,373
56,0.8714987704171343,0.40594679186228483,3796
57,0.8104459418379313,0.7627447807088525,1466
58,0.903249771188503,0.8511809882625706,1027
60,0.7965443527638265,0.3683138053998981,3720
61,0.9246985160653207,0.7962581025338833,1383
62,0.5311611655582684,0.4834828711256117,2533
65,0.8177562963195741,0.6668374316939891,1951
67,0.7749162299878235,0.7011686143572621,179
68,0.9927974638281778,0.95408265122779,230
70,0.7913475271937407,0.7671897751172949,1439
72,0.9666764156376869,0.9171717171717172,451
73,0.7182009801697601,0.5658879564527104,1914
74,0.4388262632719828,0.387785136129507,1664
75,0.9345178816695069,0.49281092739036664,1411
76,0.9156839577628028,0.8595002357378595,596
77,0.9213311047681348,0.8766731839374342,820
79,0.9108726853528131,0.5658566469266898,2126
80,0.8512968447605087,0.770494443549686,1425
81,0.7540988315494975,0.6645836851883128,1986
82,0.8868558864741761,0.8969233784048599,526
83,0.8443011856324525,0.7283503457359236,1650
84,0.9395098633023421,0.7895622895622896,1250
85,0.8500579816790745,0.7440350877192983,1459
86,0.5611727652081171,0.4683852140077821,3279
88,0.903579918358267,0.785952116695735,1350
90,1.0,1.0,0
91,0.5740865961349826,0.5571677307022634,763
92,0.980261207456738,0.9294414111717766,168
93,0.9148723655240945,0.8183190739808757,1083
97,0.8516664323440398,0.8177762525737817,531
98,0.6985502267631402,0.6899090515374621,2148
99,0.7767193984511693,0.7915350600126342,990
100,0.8646568345642712,0.8597105137585493,882
103,0.6483681928592697,0.5896815800080613,1018
104,0.8899424909102722,0.8508818813468734,837
105,0.7517037892428647,0.7062360419171964,1710
106,0.8444495122516973,0.8352272727272727,609
107,0.5325382163441602,0.6275303643724697,1932
109,1.0,1.0,0
110,0.8860976404085423,0.852991452991453,860
111,0.7723798111373414,0.5607511737089201,2339
114,0.6440547234821968,0.5515727871250914,1839
115,0.6607924778143132,0.5568310428455941,2741
117,0.26853292937266043,0.17121116043119847,2614
119,0.6208002755645421,0.3674734356552538,4286
120,0.7263681901958237,0.7141395539185594,1397
121,0.8784030109508848,0.824855219909219,1119
122,0.758293386164668,0.7440625,1638
123,0.8393933181980441,0.6613898577944728,1262
125,0.7836235193391505,0.5146411483253589,2536
