taxi_id,mileage_utilization,time_utilization,empty_time
2,0.9033949152676278,0.8802619270346118,128
3,0.8852354645430927,0.9096385542168675,60
4,0.9448106392033149,0.8347938980850373,509
5,0.9259429308138335,0.8532675709001233,238
6,0.6226282653695413,0.6507197290431838,825
7,0.40560981949593405,0.6964705882352941,258
8,0.04747192174771858,0.0036403349108117948,2737
13,0.0,0.0,777
14,0.6817317819907255,0.684380504991192,1075
15,0.6277263249913506,0.46912832929782083,877
16,0.9538538003825767,0.8444722048719551,249
17,0.952045607763228,0.7980059084194978,547
19,0.9329178220479645,0.7986577181208053,600
21,0.8048246314173205,0.5041322314049587,60
26,0.7983562878090682,0.6979936642027456,858
28,0.9067371319789854,0.6545390321441187,978
30,0.8228084706111795,0.8414125200642054,494
31,0.7902900894122874,0.7753164556962026,568
32,0.8418752395019712,0.7717092337917485,581
35,0.7773771159326647,0.827688651218063,290
36,0.8525370968414211,0.8178861788617886,560
39,1.0,1.0,0
41,0.0,0.0,2174
42,0.8490788368526391,0.8151102768653214,394
44,0.9187157888796322,0.8697916666666666,350
46,0.0,0.0,2465
47,0.6345851695258448,0.6569565217391304,789
49,0.8744279912134314,0.819933308632827,486
50,0.8478272091482574,0.766522210184182,431
52,0.0,0.0,570
53,0.7267443963132653,0.6402366863905326,912
54,0.6137933042364044,0.6063929802569727,1256
57,0.9995079485024957,0.9953325554259043,8
58,0.44133417524742097,0.3340033500837521,1988
60,0.9643406808026547,0.9382624768946396,167
61,0.8669914342646112,0.9220945083014048,122
62,0.659119345997699,0.6355576294913673,781
65,0.7329140500307475,0.6878836833602585,966
67,0.8768166355202479,0.727547931382442,270
68,0.9010154969888551,0.8382303275920298,479
69,0.1766930188200756,0.8406440866185453,287
70,0.9212963929622077,0.8946752486834406,180
72,0.8673889798856547,0.7916149068322982,671
73,0.6647618633192828,0.723963133640553,599
74,0.7497505712024514,0.6815642458100558,627
75,0.6802330545296382,0.39987121699935607,932
76,0.799274538319961,0.5227502527805864,944
77,0.8845567912148499,0.573953823953824,1181
79,0.8526157536705117,0.8643425539977264,358
80,0.7656829183451271,0.5835745296671491,1151
81,0.484333703677674,0.4200119832234871,968
82,0.30959182760777176,0.5662235352043329,881
84,0.7505301944627022,0.6438356164383562,650
85,0.2153367810666663,0.44689119170984454,1708
88,0.8823751082194936,0.8927125506072875,159
90,0.8248269561255727,0.8032936870997255,430
92,0.9600301523895179,0.9431372549019608,116
93,0.8591318394842359,0.7861253196930946,669
94,0.0,0.0,1666
96,0.9747596019539828,0.9094775212636695,298
97,0.0,0.0,2221
98,0.9368520280777214,0.9339783722253842,116
99,0.7246143106118147,0.5745202123315639,1042
100,0.984928850550655,0.9584130019120459,87
103,0.7723456656278929,0.7976424361493124,412
104,0.9542193342438887,0.9523809523809523,79
105,0.8304806911470028,0.7693522906793049,438
106,0.08110210577355663,0.07154560349535773,1700
107,0.6701092297123904,0.5177111716621253,531
110,0.7851142471356589,0.7430555555555556,333
111,0.9551021078259028,0.9371838111298483,149
114,1.0,1.0,0
115,0.8792297992140753,0.9383640552995391,107
116,0.0,0.0,2027
119,0.0,0.0,3210
121,0.0,0.0,886
122,0.8330473027598659,0.8370044052863436,518
123,0.755915669277736,0.46534653465346537,1404
125,0.7724778777178954,0.618667485416027,1242
128,0.719403034265778,0.709064851307775,812
130,0.7837176451105758,0.7917789757412399,618
131,0.6308403260035964,0.542232722976964,1550
136,0.9658406628036451,0.9491077329808327,77
137,0.7844056000309653,0.8088986141502553,262
140,0.8804145498015892,0.8598589389757743,457
141,0.8008332103870817,0.7886615229788662,630
142,0.8799308447257395,0.6477272727272727,837
144,0.9936220426221565,0.976240984302079,56
145,0.8691795788606274,0.8531187122736419,219
147,0.28963775595438473,0.31265306122448977,1684
148,0.0,0.0,1390
149,0.9889328399494768,0.9581043956043956,61
150,0.7915315196960886,0.7049462365591398,686
151,0.41536649550323707,0.4191964285714286,1301
153,0.39560123732095415,0.42587894164552376,1584
155,0.5097751842775888,0.3782214156079855,1713
157,0.6039507192022321,0.6294820717131474,930
158,0.806624631204621,0.4899830220713073,1502
160,0.7961982732815535,0.7746432127447727,679
161,0.0,0.0,268
162,0.0,0.0,3505
164,0.8844457187192892,0.8141554494138081,428
165,1.0,1.0,0
166,0.9232254324986404,0.8194574368568756,386
167,0.8707360187695137,0.8634598147594861,457
169,0.5577016001423669,0.5399339933993399,1394
170,0.0,0.0,62
172,0.9324484927063406,0.9109225874867445,168
173,0.9241783425865894,0.9002169197396963,184
174,0.9096633354935423,0.8653705062362436,367
175,0.7666725941611402,0.784804753820034,507
176,0.8724385033557293,0.843426883308715,424
177,0.48134724641574134,0.4628362973096215,1178
178,0.9936797088389175,0.9716618635926993,59
179,0.9362568069463544,0.9090009891196835,276
180,0.8516722469666487,0.777157578359811,519
181,0.8385228929116908,0.8057742782152231,296
184,0.643233602054035,0.6586768935762224,712
185,1.0,1.0,0
186,0.2801645408652476,0.3932527693856999,1205
187,0.7225646082316256,0.624765478424015,600
188,0.0,0.0,500
189,1.0,1.0,0
190,0.8961743451691954,0.835103060587133,528
191,0.5625209624297307,0.5009082652134423,1099
192,0.916606458930882,0.8946808510638298,198
193,0.7800430645784747,0.7884057971014493,657
194,0.8794463243768839,0.7769063180827886,512
196,0.9182838376908512,0.8684807256235828,348
197,0.9679060278323625,0.9125560538116592,117
199,1.0,1.0,0
200,0.8276376806373852,0.8899159663865546,131
201,0.9381445926268475,0.9261904761904762,217
202,0.98505727710383,0.9352380952380952,102
204,0.932555960768047,0.9254327563249002,168
205,0.8285896093047143,0.7603781339909577,583
206,0.7655352418753394,0.6593591905564924,404
207,0.8103621368973497,0.7771971496437055,469
208,0.5213744987777468,0.5090016366612111,900
211,0.8274918732551126,0.7999233422767343,522
212,0.0,0.0,490
215,0.3439578793060896,0.18584521384928718,1599
217,0.9855821256559874,0.9650748396293657,49
218,0.9849654202089065,0.9734129137276181,49
221,0.3903298858011641,0.3001412429378531,991
222,0.7360826382440593,0.6153050672182007,744
225,0.8404134845707728,0.8089461713419257,504
227,0.8014368853949465,0.7650397275822929,621
228,0.0,0.0,129
229,0.8630748002847568,0.8018821198613175,400
230,0.9286008551358887,0.906801007556675,259
231,0.6251135784119843,0.538098050797401,1564
232,0.8208423241561804,0.9078404401650619,268
235,0.848860641430241,0.7826250470101542,578
236,0.8909815517767486,0.8694817658349329,340
237,0.8102592115618499,0.8043347381095726,650
238,0.8730728179918718,0.8075192802056556,599
239,0.884393903851482,0.794449527294907,674
241,0.6478507370158013,0.5408232118758435,1361
242,0.8127656070948227,0.7060931899641577,984
244,0.7896081923537843,0.7503566333808844,350
247,0.7155736128301334,0.66796875,170
248,0.8517749630613664,0.8370759675107501,341
249,1.0,1.0,0
250,0.9349564374351974,0.9447852760736196,45
251,0.7003827321387177,0.6587121212121212,901
252,0.7710044022522563,0.7050183598531212,482
253,0.7072550466683049,0.7090405264980949,840
254,0.6969772836673415,0.6590504451038576,1149
255,0.8117830865035829,0.8190894568690096,453
257,0.8127392599746108,0.8494208494208494,78
258,0.8591377259844987,0.5081784386617101,1323
259,0.8562818163762747,0.8838254172015404,181
260,0.915009889100033,0.8307365439093485,239
262,0.9495659233616338,0.9382510013351135,185
263,0.47114315973363946,0.5020080321285141,1116
265,0.256291831580871,0.15139701104613384,1306
266,0.9220721551934002,0.8873366381252816,250
268,0.7721861137777821,0.752725686873092,567
269,0.6296698472435607,0.43233743409490333,1938
271,0.5928166339077181,0.44765166340508805,1129
272,0.6907290858535192,0.7458333333333333,61
274,0.586946903138468,0.5960311835577604,1140
276,0.5654596652648813,0.44051767048282725,1124
278,0.945767871126154,0.896551724137931,264
279,0.9759292082350778,0.9641975308641976,58
280,0.5994263186817598,0.5908346972176759,250
283,0.6714260512147665,0.63498674744415,964
284,0.9634046267376306,0.9569171852561034,90
